Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Digikey~String~Digikey~100|Field=Digikey Link~String~Digikey Link~100|Field=MF~String~MF~100|Field=MP~String~MP~100|Field=Package~String~Package~100|Field=Price~String~Price~100|Field=Quantity~Integer~Quantity~100|Field=Rating~String~Rating~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~power_distribution.PrjPCB|ReportField=ProjectFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_Power\Power\v2.0\power_distribution.PrjPCB|ReportField=Title~Bill of Materials For Project [power_distribution.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~2:01:46 PM|ReportField=ReportDate~2020-03-08|ReportField=ReportDateTime~2020-03-08 2:01:46 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~50|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~14025981403539a8bdf8907ea30115d65588fdeb|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020-03-08|ReportField=CurrentTime~2:01:42 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Hannah\Desktop\Thunderbots\PCB_Power\Power\v2.0\power_distribution.SchDoc|ReportField=DocumentName~power_distribution.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020-03-08|ReportField=Organization~|ReportField=ProjectName~power_distribution.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~power_distribution.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_Power\Power\v2.0\power_distribution.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
13|SRU1048-8R2Y|FIXED IND 8.2UH 4.6A 15 MOHM SMD|L1|SRU1048-8R2YCT-ND|https://www.digikey.ca/en/products/detail/bourns-inc/SRU1048-8R2Y/2352912|Bourns Inc.|SRU1048-8R2Y|Nonstandard|None|1||8.2uH
14|XT60|XT60 CONNECTORS FEMALE PAIR|P1|1568-1816-ND|https://www.digikey.ca/product-detail/en/sparkfun-electronics/PRT-10474/1568-1816-ND/8258064|SparkFun Electronics|PRT-10474|XT60|2.13000 CAD|1||N/A
15|Header 2X2|Header, 2-Pin, Dual row|P3|||||||1||
16|Header 4X2|Header, 4-Pin, Dual row|PN|||||||1||
17|AON6407|P-Channel 30V 32A (Ta), 85A (Tc) 7.3W (Ta), 83W (Tc) Surface Mount 8-DFN (5x6)|Q1, Q2|785-1421-1-ND|https://www.digikey.ca/product-detail/en/alpha-omega-semiconductor-inc/AON6407/785-1421-1-ND/3466800|Alpha & Omega Semiconductor Inc.|AON6407|8-PowerSMD||2||
18|1.96K|RES SMD 1.96K OHM 1% 1/8W 0805|R2, R13|P1.96KCCT-ND|https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERJ-6ENF1961V/P1.96KCCT-ND/119041|Panasonic Electronic Components|ERJ-6ENF1961V|0805|0.15 CAD|2|0.125W|1.96k
19|270|RES SMD 270 OHM 5% 1/8W 0805|R3|311-270ARCT-ND|https://www.digikey.ca/product-detail/en/yageo/RC0805JR-07270RL/311-270ARCT-ND/731238|Yageo|RC0805JR-07270RL|0805|0.054 CAD|1|0.125W|270
20|110|RES SMD 110 OHM 1% 1/8W 0805|R4|311-110CRCT-ND|https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07110RL/311-110CRCT-ND/730506|Yageo|RC0805FR-07110RL|0805|0.15 CAD|1|0.125W|110
21|100k|RES SMD 100K OHM 1% 1/8W 0805|R5, R17|311-100KCRCT-ND|https://www.digikey.ca/products/en?keywords=311-100KCRCT-ND|Yageo|RC0805FR-07100KL|0805|0.058 CAD|2|0.125W|100k
22|10|RES SMD 10 OHM 1% 1/8W 0805|R6, R7|311-10.0CRCT-ND|https://www.digikey.ca/product-detail/en/yageo/RC0805FR-0710RL/311-10.0CRCT-ND/730481|Yageo|RC0805FR-0710RL|0805|0.15 CAD|2|0.125W|10
23|10k|RES SMD 10K OHM 1% 1/8W 0805|R8, R9, R10, R11, R12|311-10.0KCRCT-ND|https://www.digikey.ca/products/en?keywords=311-10.0KCRCT-ND|Yageo|RC0805FR-0710KL|0805|0.061 CAD|5|0.125W|10k
24|10.2k|RES SMD 10.2K OHM 1% 1/8W 0805|R14|P10.2KCCT-ND|https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERJ-6ENF1022V/P10.2KCCT-ND/119251|Panasonic Electronic Components|ERJ-6ENF1022V|0805|0.15 CAD|1|0.125W|10.2k
25|24.3K|RES SMD 24.3K OHM 1% 1/8W 0805|R15|311-24.3KCRCT-ND|https://www.digikey.ca/product-detail/en/yageo/RC0805FR-0724K3L/311-24.3KCRCT-ND/730705|Yageo|RC0805FR-0724K3L|0805|0.15 CAD|1|0.125W|24.3k
26|2mOhm|RES 0.002 OHM 1% 1W 1206|Rshunt|696-1370-1-ND|https://www.digikey.ca/product-detail/en/riedon/CSR1206-0R002F1/696-1370-1-ND/2813303|Riedon|CSR1206-0R002F1|1206|0.88 CAD|1|0.125W|0.002
27|SPST Rocker|Rocker Switch SPST 10A (AC) 125V Panel Mount, Snap-In|S1|CH755-ND|https://www.digikey.ca/product-detail/en/zf-electronics/SRB22A2FBBNN/CH755-ND/446021|ZF Electronics|SRB22A2FBBNN||1.276 CAD|1|10A 125V|
28|INA226AIDGSR|36-V, Bi-Directional, Ultra-High Accuracy, Low-/High-Side, I2C Out Current/Power Monitor w/ Alert 10-VSSOP -40 to 125|U1|296-29034-2-ND|https://www.digikey.ca/product-detail/en/texas-instruments/INA226AIDGSR/296-29034-2-ND/2687236|Texas Instruments|INA226AIDGSR|MSOP-10 Texas Instruments|None|1||
29|TPS54331|Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 3A 8-SOIC _0.154, 3.90mm Width_|U3|296-39419-1-ND|https://www.digikey.ca/product-detail/en/texas-instruments/TPS54331DDAR/296-39419-1-ND/5143369|Texas Instruments|TPS54331DDAR|8-PowerSOIC||1||
30|ZLDO1117K33TC|Linear Voltage Regulator IC Positive Fixed 1 Output  1A TO-252-3|U4|ZLDO1117K33DIDKR-ND|https://www.digikey.ca/product-detail/en/diodes-incorporated/ZLDO1117K33TC/ZLDO1117K33DIDKR-ND/2095639|Diodes Incorporated|ZLDO1117K33TC|TO-252-3||1||
31|EMI|RC (Pi) EMI Filter 2nd Order Low Pass 2 Channel R = 100Ohms, C = 19pF (Total)  SOT-665|U5, U6|1727-4718-1-ND|https://www.digikey.ca/product-detail/en/nexperia-usa-inc/IP4256CZ5-W115/1727-4718-1-ND/2531158|Nexperia USA Inc.|IP4256CZ5-W,115|SOT-665|0.17 CAD|2||
